asset_id,asset_name,asset_type,company,owner_entity,owner_type,ownership_percentage,estimated_revenue_usd_m,strategic_importance,notes
1,ALROSA Diamond Mining,diamond,ALROSA PJSC,Russian Federation,federal,33.02,1387,high,Via Rosimushchestvo (Federal Property Agency); confirmed in annual shareholder registry
2,ALROSA Diamond Mining,diamond,ALROSA PJSC,Republic of Sakha (Yakutia),regional,25.0,1050,high,Direct government stake per ALROSA charter and annual reports
3,ALROSA Diamond Mining,diamond,ALROSA PJSC,Municipal Districts (Yakutia),municipal,8.0,336,high,Distributed across 8 municipal raions of Yakutia
4,ALROSA Diamond Mining,diamond,ALROSA PJSC,Public Investors (Free Float),private,33.98,1427,high,Free float traded on Moscow Exchange (MOEX ticker: ALRS)
5,Yakutugol Coal Operations,coal,Mechel (Yakutugol subsidiary),Mechel Group (I. Zyuzin majority),private,100.0,580,high,Coking coal operations centered in Neryungri; Mechel Annual Report 2022
6,Yakutia Airlines,aviation,FSUE Yakutia Airlines,Republic of Sakha (Yakutia),regional,99.0,95,medium,Critical connectivity for remote settlements; sakha.gov.ru decree
7,Yakutia Airlines,aviation,FSUE Yakutia Airlines,Minority Private Shareholders,private,1.0,1,medium,Residual private stake; operationally irrelevant
8,TAAS-Yuryakh Neftegazodobycha,oil_gas,TAAS-Yuryakh NGC PJSC,Rosneft (federal),federal,56.1,452,high,Eastern Siberia Chayandinsk oilfield; Rosneft Annual Report 2022
9,TAAS-Yuryakh Neftegazodobycha,oil_gas,TAAS-Yuryakh NGC PJSC,Indian Consortium (ONGC Videsh / OIL / IOC),foreign,23.9,193,high,Acquired 2016 via strategic energy partnership; Indian MOPetroleum announcement
10,TAAS-Yuryakh Neftegazodobycha,oil_gas,TAAS-Yuryakh NGC PJSC,BP Russia via LetterOne,foreign,20.0,161,high,Pre-2022 stake; BP exited Russia in 2022 (status under transition)
11,Surgutneftegas Yakutia Operations,oil_gas,Surgutneftegas PJSC,Surgutneftegas (private / opaque structure),private,100.0,1200,high,Largest oil producer in Eastern Siberia; beneficial ownership deliberately opaque
12,Yakutskenergo Power Grid,electricity,Yakutskenergo PJSC,RusHydro (federal),federal,72.4,289,high,Consolidated into RusHydro group 2019; RusHydro Annual Report 2022
13,Yakutskenergo Power Grid,electricity,Yakutskenergo PJSC,Republic of Sakha (Yakutia),regional,27.6,110,high,Regional minority co-owner; limited board control rights
14,RZhD Yakutia Railway (AYaM line),transport,Amuro-Yakutskaya Magistral,Russian Federation (RZhD),federal,100.0,290,high,Federal railway monopoly; sole freight corridor to Neryungri coal
15,Sakhaneftegazprom Gas Operations,oil_gas,Sakhaneftegazprom JSC,Republic of Sakha (Yakutia),regional,100.0,180,medium,Regional energy security role; natural gas supply to Yakutsk area
16,Gazprom Mezhregiongaz Yakutsk,gas,Gazprom Mezhregiongaz Yakutsk,Gazprom (federal),federal,100.0,140,high,Gas distribution monopoly serving Yakutsk city; Gazprom subsidiary
17,Elga Coal Complex,coal,Elgaugol (A-Property Group),A-Property Group (private),private,100.0,420,high,World-class coking coal deposit; acquired from Mechel 2020 for ~$400M
18,Almazy Anabara Diamond Placers,diamond,Almazy Anabara JSC,ALROSA PJSC (subsidiary),private,100.0,280,high,Placer diamond deposits; ALROSA 100% owned subsidiary in Anabar District
19,Yakutsk International Airport,transport,FSBI Airports of Regions (federal),Russian Federation,federal,100.0,75,high,Federally operated under Airports of Regions holding
20,Gold Mining Sector (Yakutia),gold,Polymetal / Independent Miners,Private Investors (mixed),private,100.0,220,medium,Fragmented; Polymetal exited Russia 2023; sector in transition
21,Timber and Forestry Sector,timber,Various Regional Enterprises,Republic of Sakha (Yakutia),regional,60.0,80,low,Partly privatized; republic retains majority through state enterprises
22,Timber and Forestry Sector,timber,Various Regional Enterprises,Private Entrepreneurs (SMEs),private,40.0,53,low,Small and medium enterprise segment; fragmented ownership
23,Neryungri Coal Processing Zone,coal,Mechel Subsidiaries,Mechel Group,private,80.0,350,high,Processing and export infrastructure for coking coal export
24,Neryungri Coal Processing Zone,coal,Mechel Subsidiaries,Republic of Sakha (Yakutia),regional,20.0,88,high,Minority stake in processing assets; Mechel-Yakutia agreement
25,Yakutskenergo Remote Diesel,electricity,Yakutskenergo (remote division),RusHydro (federal),federal,72.4,45,medium,Diesel generation for Arctic remote settlements; federal subsidy dependent
